"id";"category";"message";"location";"hash"
211;"app";"Нет";"[""backend/modules/user/views/manage/confirm-delete-user.php"",""backend/modules/document/views/element-manage/confirm-delete-element.php"",""backend/modules/document/views/template-manage/confirm-delete-template.php"",""backend/modules/document/views/folder-manage/confirm-delete-folder.php"",""backend/modules/document/views/field-manage/confirm-delete-field.php"",""backend/modules/document/views/field-manage/view-field.php"",""backend/modules/document/views/field-manage/view-field.php"",""backend/modules/role/views/manage/confirm-delete-auth-rule.php"",""backend/modules/role/views/manage/confirm-delete-auth-item.php"",""backend/modules/role/views/manage/confirm-delete-auth-item-child.php""]";"bbbf1a6213b26440ece96aae93030f3d"
212;"app";"Создать пользователя";"[""backend/modules/user/views/manage/modal-user.php"",""backend/modules/user/views/manage/_grid-user-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
213;"app";"Изменить пользователя";"[""backend/modules/user/views/manage/modal-user.php"",""backend/modules/user/views/manage/_grid-user-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
214;"app";"Просмотр пользователя";"[""backend/modules/user/views/manage/_grid-user-block.php"",""backend/modules/document/views/basket/_grid-basket-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
215;"app";"Удалить пользователя";"[""backend/modules/user/views/manage/_grid-user-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
216;"app";"У Вас нет прав для просмотра.";"[""backend/modules/user/views/manage/_grid-user-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
217;"app";"Просмотр роли или разрешения";"[""backend/modules/user/views/manage/view-user.php"",""backend/modules/role/views/manage/_grid-auth-item-block.php"",""backend/modules/role/views/manage/view-auth-item.php""]";"bbbf1a6213b26440ece96aae93030f3d"
218;"app";"Менеджер пользователей";"[""backend/modules/user/views/manage/index.php""]";"bbbf1a6213b26440ece96aae93030f3d"
219;"app";"Экспорт пользователей, их ролей и соц. ключей в CSV";"[""backend/modules/user/views/manage/index.php""]";"bbbf1a6213b26440ece96aae93030f3d"
220;"app";"Пользователи";"[""backend/modules/user/views/manage/index.php"",""backend/views/layouts/left.php"",""backend/views/layouts/left.php""]";"bbbf1a6213b26440ece96aae93030f3d"
221;"app";"Внимание!!! Папка содержит элементы, удалите сперва их.";"[""backend/modules/document/controllers/FolderManageController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
222;"app";"Создать элемент";"[""backend/modules/document/views/element-manage/modal-element.php"",""backend/modules/document/views/element-manage/_grid-elements-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
223;"app";"Изменить элемент";"[""backend/modules/document/views/element-manage/modal-element.php"",""backend/modules/document/views/element-manage/_grid-elements-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
224;"app";"От";"[""backend/modules/document/views/element-manage/text-field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
225;"app";"До";"[""backend/modules/document/views/element-manage/text-field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
226;"app";"Удалить элемент";"[""backend/modules/document/views/element-manage/confirm-delete-element.php"",""backend/modules/document/views/element-manage/_grid-elements-block.php""]";"bbbf1a6213b26440ece96aae93030f3d"
227;"app";"Просмотр элемента";"[""backend/modules/document/views/element-manage/_grid-elements-block.php"",""backend/modules/document/views/element-manage/view-element.php""]";"bbbf1a6213b26440ece96aae93030f3d"
228;"app";"Просмотров";"[""backend/modules/document/views/element-manage/_grid-elements-block.php"",""backend/modules/document/views/folder-manage/view-folder.php""]";"bbbf1a6213b26440ece96aae93030f3d"
